drug	disease	label	fold
5-hydroxytryptophan	C0917801	1	3
ACT-132577	C2973725	1	2
DB00001	C0002965	1	0
DB00001	C0040038	1	4
DB00001	C0040053	1	2
DB00002	C0007102	1	4
DB00002	C1168401	1	4
DB00004	C0079773	1	1
DB00005	C0003872	1	1
DB00005	C0003873	1	2
DB00005	C0038013	1	1
DB00005	C3495559	1	4
DB00006	C0002962	1	1
DB00006	C0002965	1	1
DB00006	C0040053	1	2
DB00007	C0014170	1	2
DB00007	C0014175	1	0
DB00007	C0021359	1	1
DB00007	C0021361	1	2
DB00007	C0023267	1	0
DB00007	C0033578	1	2
DB00007	C0034013	1	2
DB00007	C0042133	1	0
DB00007	C0376358	1	2
DB00007	C0919267	1	0
DB00007	C1458155	1	3
DB00007	C2937421	1	3
DB00008	C0006118	1	2
DB00008	C0007134	1	3
DB00008	C0009404	1	0
DB00008	C0018916	1	2
DB00008	C0023443	1	4
DB00008	C0024437	1	0
DB00008	C0025202	1	3
DB00008	C0026764	1	0
DB00008	C0026948	1	0
DB00008	C0036220	1	3
DB00008	C0036920	1	1
DB00008	C0037286	1	2
DB00008	C0037299	1	4
DB00008	C0040028	1	1
DB00008	C0276535	1	2
DB00008	C0524909	1	0
DB00008	C0524910	1	3
DB00008	C1540912	1	1
DB00008	C2239176	1	0
DB00009	C0027051	1	0
DB00009	C0034065	1	4
DB00009	C0040053	1	1
DB00009	C0948008	1	4
DB00010	C0013338	1	3
DB00010	C0021359	1	2
DB00010	C0343755	1	4
DB00012	C0002871	1	3
DB00013	C0010072	1	0
DB00013	C0027051	1	4
DB00013	C0034065	1	1
DB00013	C0040053	1	1
DB00013	C0042487	1	0
DB00014	C0006142	1	0
DB00014	C0014175	1	0
DB00015	C0018802	1	4
DB00015	C0027051	1	3
DB00015	C0034065	1	0
DB00015	C0040053	1	0
DB00015	C0242973	1	0
DB00016	C0002871	1	2
DB00017	C0020437	1	1
DB00017	C0029401	1	1
DB00017	C0029456	1	3
DB00017	C0029458	1	1
DB00020	C0019829	1	1
DB00020	C0023449	1	3
DB00020	C1458155	1	4
DB00022	C0006118	1	0
DB00022	C0007134	1	4
DB00022	C0009404	1	0
DB00022	C0018916	1	0
DB00022	C0023443	1	1
DB00022	C0024437	1	0
DB00022	C0025202	1	3
DB00022	C0026764	1	0
DB00022	C0026948	1	3
DB00022	C0036220	1	2
DB00022	C0036920	1	3
DB00022	C0037286	1	4
DB00022	C0037299	1	3
DB00022	C0040028	1	0
DB00022	C0524910	1	2
DB00022	C1540912	1	2
DB00022	C2239176	1	0
DB00024	C0020676	1	2
DB00024	C0040136	1	0
DB00025	C0019080	1	4
DB00026	C0003873	1	3
DB00026	C0409818	1	3
DB00026	C2316212	1	1
DB00028	C0002880	1	1
DB00028	C0011633	1	3
DB00028	C0021051	1	4
DB00028	C0023418	1	1
DB00028	C0023434	1	4
DB00028	C0026691	1	3
DB00029	C0027051	1	3
DB00029	C0034065	1	0
DB00029	C0040053	1	1
DB00030	C0011849	1	3
DB00030	C0011854	1	3
DB00030	C0011860	1	1
DB00030	C0021655	1	2
DB00030	C2748055	1	3
DB00031	C0010072	1	1
DB00031	C0027051	1	4
DB00031	C0040053	1	2
DB00032	C0021359	1	4
DB00033	C0006118	1	2
DB00033	C0007134	1	2
DB00033	C0009404	1	3
DB00033	C0018203	1	0
DB00033	C0018916	1	3
DB00033	C0023443	1	2
DB00033	C0024437	1	4
DB00033	C0025202	1	3
DB00033	C0026764	1	1
DB00033	C0026948	1	1
DB00033	C0036220	1	2
DB00033	C0036920	1	4
DB00033	C0037286	1	4
DB00033	C0037299	1	3
DB00033	C0040028	1	2
DB00033	C0524910	1	1
DB00033	C1540912	1	0
DB00033	C2239176	1	1
DB00034	C0006118	1	0
DB00034	C0007134	1	1
DB00034	C0009404	1	2
DB00034	C0018916	1	0
DB00034	C0023443	1	4
DB00034	C0024437	1	4
DB00034	C0025202	1	0
DB00034	C0026764	1	1
DB00034	C0026948	1	4
DB00034	C0036220	1	0
DB00034	C0036920	1	4
DB00034	C0037286	1	1
DB00034	C0037299	1	2
DB00034	C0040028	1	4
DB00034	C0524910	1	1
DB00034	C1540912	1	0
DB00034	C2239176	1	4
DB00035	C0011848	1	4
DB00035	C0018924	1	1
DB00035	C0019069	1	4
DB00035	C0019080	1	2
DB00035	C0041948	1	4
DB00036	C0008533	1	2
DB00036	C0015503	1	4
DB00036	C0019069	1	4
DB00036	C0019080	1	4
DB00036	C0040015	1	2
DB00038	C0040034	1	2
DB00039	C0376545	1	1
DB00040	C0002792	1	3
DB00040	C0011849	1	4
DB00040	C0020615	1	3
DB00040	C0036980	1	3
DB00040	C0428977	1	1
DB00041	C0007134	1	4
DB00041	C0009404	1	4
DB00041	C0023467	1	1
DB00041	C0024305	1	1
DB00041	C0025202	1	0
DB00041	C0026764	1	0
DB00042	C0038379	1	0
DB00043	C0004096	1	3
DB00043	C0020517	1	1
DB00044	C0021361	1	4
DB00046	C0011849	1	4
DB00046	C0011854	1	1
DB00046	C0011860	1	1
DB00046	C0020456	1	0
DB00046	C2748055	1	2
DB00047	C0011849	1	1
DB00047	C0011854	1	3
DB00047	C0011860	1	1
DB00047	C0020456	1	2
DB00047	C2748055	1	4
DB00048	C0030848	1	0
DB00048	C0037299	1	4
DB00051	C0003872	1	4
DB00051	C0003873	1	1
DB00051	C0009324	1	1
DB00051	C0010346	1	1
DB00051	C0038013	1	2
DB00051	C0162836	1	3
DB00051	C3495559	1	1
DB00052	C0001206	1	2
DB00052	C0013338	1	2
DB00052	C0032897	1	4
DB00052	C0041408	1	2
DB00052	C0151686	1	2
DB00052	C0343755	1	2
DB00052	C0878787	1	0
DB00054	C0002965	1	2
DB00054	C0040053	1	3
DB00055	C0040053	1	2
DB00056	C0023467	1	1
DB00056	C0023479	1	3
DB00060	C0006118	1	1
DB00060	C0007134	1	2
DB00060	C0009404	1	4
DB00060	C0018916	1	1
DB00060	C0023443	1	2
DB00060	C0024437	1	0
DB00060	C0025202	1	1
DB00060	C0026764	1	4
DB00060	C0026948	1	0
DB00060	C0036220	1	1
DB00060	C0036920	1	2
DB00060	C0037286	1	1
DB00060	C0037299	1	0
DB00060	C0040028	1	3
DB00060	C0524910	1	2
DB00060	C0751967	1	0
DB00060	C1540912	1	2
DB00060	C2239176	1	0
DB00063	C0002965	1	4
DB00063	C0027051	1	3
DB00063	C0040053	1	4
DB00063	C0948089	1	0
DB00065	C0003872	1	0
DB00065	C0003873	1	1
DB00065	C0009324	1	4
DB00065	C0010346	1	0
DB00065	C0038013	1	0
DB00065	C3495559	1	4
DB00066	C0021359	1	0
DB00066	C0021361	1	1
DB00067	C0011848	1	4
DB00067	C0017181	1	3
DB00067	C0019069	1	0
DB00067	C0019080	1	4
DB00067	C0042510	1	2
DB00067	C0042514	1	4
DB00068	C0006118	1	2
DB00068	C0007134	1	4
DB00068	C0009404	1	0
DB00068	C0018916	1	2
DB00068	C0023443	1	0
DB00068	C0024437	1	3
DB00068	C0025202	1	3
DB00068	C0026764	1	4
DB00068	C0026769	1	3
DB00068	C0026948	1	1
DB00068	C0036220	1	2
DB00068	C0036920	1	4
DB00068	C0037286	1	1
DB00068	C0037299	1	0
DB00068	C0040028	1	2
DB00068	C0524910	1	2
DB00068	C0751967	1	1
DB00068	C1540912	1	0
