drug	disease	label	category	repeat0	repeat1	repeat2	repeat3	repeat4	repeat5	repeat6	repeat7	repeat8	repeat9
5-hydroxytryptophan	C0917801	1	C10	train	train	train	train	test	valid	valid	train	train	train
ACT-132577	C2973725	1	C08	train	train	train	train	train	train	train	test	test	test
DB00001	C0002965	1	C14	train	test	test	train	train	test	train	train	train	train
DB00001	C0040038	1	C14	train	test	test	train	train	test	train	train	train	train
DB00001	C0040053	1	C14	train	test	test	train	train	test	train	train	train	train
DB00005	C3495559	1	C05	train	train	train	train	train	train	test	train	train	train
DB00006	C0002962	1	C14	train	test	test	train	train	test	train	train	train	train
DB00006	C0002965	1	C14	train	test	test	train	train	test	train	train	train	train
DB00006	C0040053	1	C14	train	test	test	train	train	test	train	train	train	train
DB00007	C0014170	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0014175	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0021359	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0021361	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0023267	1	C04	train	train	train	train	train	train	train	train	train	train
DB00007	C0033578	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0034013	1	C19	valid	train	valid	train	train	train	train	train	valid	train
DB00007	C0042133	1	C04	train	train	train	train	train	train	train	train	train	train
DB00007	C0376358	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C0919267	1	C12	train	train	train	train	train	train	train	train	train	train
DB00007	C1458155	1	C04	train	train	train	train	train	train	train	train	train	train
DB00007	C2937421	1	C12	train	train	train	train	train	train	train	train	train	train
DB00008	C0006118	1	C10	train	train	train	train	test	valid	valid	train	train	train
DB00008	C0007134	1	C12	train	train	train	train	train	train	train	train	train	train
DB00008	C0009404	1	C06	train	train	valid	train	train	train	train	train	train	train
DB00008	C0018916	1	C04	train	train	train	train	train	train	train	train	train	train
DB00008	C0023443	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00008	C0024437	1	C11	test	test	train	train	train	train	train	valid	valid	train
DB00008	C0025202	1	C04	train	train	train	train	train	train	train	train	train	train
DB00008	C0026764	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00008	C0026948	1	C04	train	train	train	train	train	train	train	train	train	train
DB00008	C0036220	1	C04	train	train	train	train	train	train	train	train	train	train
DB00008	C0036920	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00008	C0037286	1	C04	train	train	train	train	train	train	train	train	train	train
DB00008	C0037299	1	C17	valid	valid	train	valid	train	train	test	train	test	train
DB00008	C0040028	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00008	C0524909	1	C01	train	train	train	test	train	train	train	train	train	train
DB00008	C0524910	1	C01	train	train	train	test	train	train	train	train	train	train
DB00008	C1540912	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00009	C0027051	1	C14	train	test	test	train	train	test	train	train	train	train
DB00009	C0034065	1	C08	train	train	train	train	train	train	train	test	test	test
DB00009	C0040053	1	C14	train	test	test	train	train	test	train	train	train	train
DB00009	C0948008	1	C10	train	train	train	train	test	valid	valid	train	train	train
DB00010	C0013338	1	C05	train	train	train	train	train	train	test	train	train	train
DB00010	C0021359	1	C12	train	train	train	train	train	train	train	train	train	train
DB00010	C0343755	1	C01	train	train	train	test	train	train	train	train	train	train
DB00012	C0002871	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00013	C0010072	1	C14	train	test	test	train	train	test	train	train	train	train
DB00013	C0027051	1	C14	train	test	test	train	train	test	train	train	train	train
DB00013	C0034065	1	C08	train	train	train	train	train	train	train	test	test	test
DB00013	C0040053	1	C14	train	test	test	train	train	test	train	train	train	train
DB00013	C0042487	1	C14	train	test	test	train	train	test	train	train	train	train
DB00014	C0006142	1	C04	train	train	train	train	train	train	train	train	train	train
DB00014	C0014175	1	C12	train	train	train	train	train	train	train	train	train	train
DB00015	C0018802	1	C14	train	test	test	train	train	test	train	train	train	train
DB00015	C0027051	1	C14	train	test	test	train	train	test	train	train	train	train
DB00015	C0034065	1	C08	train	train	train	train	train	train	train	test	test	test
DB00015	C0040053	1	C14	train	test	test	train	train	test	train	train	train	train
DB00015	C0242973	1	C14	train	test	test	train	train	test	train	train	train	train
DB00016	C0002871	1	C15	test	train	train	test	train	train	train	valid	valid	train
DB00017	C0020437	1	C18	train	train	train	train	valid	test	train	train	train	valid
DB00017	C0029401	1	C05	train	train	train	train	train	train	test	train	train	train
DB00017	C0029456	1	C05	train	train	train	train	train	train	test	train	train	train
