drug	disease	label	fold
5-hydroxytryptophan	C0917801	1	0
ACT-132577	C2973725	1	4
DB00001	C0002965	1	3
DB00001	C0040038	1	3
DB00001	C0040053	1	0
DB00002	C0007102	1	1
DB00002	C1168401	1	0
DB00004	C0079773	1	2
DB00005	C0003872	1	2
DB00005	C0003873	1	0
DB00005	C0038013	1	3
DB00005	C3495559	1	1
DB00006	C0002962	1	0
DB00006	C0002965	1	2
DB00006	C0040053	1	3
DB00007	C0014170	1	0
DB00007	C0014175	1	2
DB00007	C0021359	1	3
DB00007	C0021361	1	1
DB00007	C0023267	1	0
DB00007	C0033578	1	3
DB00007	C0034013	1	1
DB00007	C0042133	1	1
DB00007	C0376358	1	0
DB00007	C0919267	1	0
DB00007	C1458155	1	2
DB00007	C2937421	1	4
DB00008	C0006118	1	4
DB00008	C0007134	1	0
DB00008	C0009404	1	2
DB00008	C0018916	1	0
DB00008	C0023443	1	3
DB00008	C0024437	1	0
DB00008	C0025202	1	1
DB00008	C0026764	1	3
DB00008	C0026948	1	4
DB00008	C0036220	1	4
DB00008	C0036920	1	1
DB00008	C0037286	1	2
DB00008	C0037299	1	2
DB00008	C0040028	1	1
DB00008	C0276535	1	0
DB00008	C0524909	1	1
DB00008	C0524910	1	3
DB00008	C1540912	1	3
DB00008	C2239176	1	4
DB00009	C0027051	1	1
DB00009	C0034065	1	2
DB00009	C0040053	1	1
DB00009	C0948008	1	4
DB00010	C0013338	1	1
DB00010	C0021359	1	0
DB00010	C0343755	1	3
DB00012	C0002871	1	4
DB00013	C0010072	1	3
DB00013	C0027051	1	3
DB00013	C0034065	1	2
DB00013	C0040053	1	4
DB00013	C0042487	1	2
DB00014	C0006142	1	1
DB00014	C0014175	1	0
DB00015	C0018802	1	3
DB00015	C0027051	1	1
DB00015	C0034065	1	0
DB00015	C0040053	1	2
DB00015	C0242973	1	1
DB00016	C0002871	1	2
DB00017	C0020437	1	0
DB00017	C0029401	1	1
DB00017	C0029456	1	1
DB00017	C0029458	1	3
DB00020	C0019829	1	4
DB00020	C0023449	1	1
DB00020	C1458155	1	2
DB00022	C0006118	1	4
DB00022	C0007134	1	1
DB00022	C0009404	1	4
DB00022	C0018916	1	2
DB00022	C0023443	1	0
DB00022	C0024437	1	1
DB00022	C0025202	1	0
DB00022	C0026764	1	4
DB00022	C0026948	1	4
DB00022	C0036220	1	0
DB00022	C0036920	1	1
DB00022	C0037286	1	1
DB00022	C0037299	1	3
DB00022	C0040028	1	2
DB00022	C0524910	1	3
DB00022	C1540912	1	0
DB00022	C2239176	1	0
DB00024	C0020676	1	3
DB00024	C0040136	1	2
DB00025	C0019080	1	2
DB00026	C0003873	1	0
DB00026	C0409818	1	1
DB00026	C2316212	1	4
DB00028	C0002880	1	1
DB00028	C0011633	1	3
DB00028	C0021051	1	2
DB00028	C0023418	1	2
DB00028	C0023434	1	3
DB00028	C0026691	1	3
DB00029	C0027051	1	0
DB00029	C0034065	1	4
DB00029	C0040053	1	2
DB00030	C0011849	1	4
DB00030	C0011854	1	4
DB00030	C0011860	1	2
DB00030	C0021655	1	2
DB00030	C2748055	1	1
DB00031	C0010072	1	2
DB00031	C0027051	1	2
DB00031	C0040053	1	2
DB00032	C0021359	1	1
DB00033	C0006118	1	2
DB00033	C0007134	1	3
DB00033	C0009404	1	4
DB00033	C0018203	1	1
DB00033	C0018916	1	3
DB00033	C0023443	1	1
DB00033	C0024437	1	1
DB00033	C0025202	1	0
DB00033	C0026764	1	4
DB00033	C0026948	1	0
DB00033	C0036220	1	1
DB00033	C0036920	1	3
DB00033	C0037286	1	2
DB00033	C0037299	1	2
DB00033	C0040028	1	1
DB00033	C0524910	1	4
DB00033	C1540912	1	4
DB00033	C2239176	1	3
DB00034	C0006118	1	4
DB00034	C0007134	1	0
DB00034	C0009404	1	1
DB00034	C0018916	1	0
DB00034	C0023443	1	1
DB00034	C0024437	1	1
DB00034	C0025202	1	4
DB00034	C0026764	1	3
DB00034	C0026948	1	4
DB00034	C0036220	1	4
DB00034	C0036920	1	0
DB00034	C0037286	1	4
DB00034	C0037299	1	1
DB00034	C0040028	1	2
DB00034	C0524910	1	4
DB00034	C1540912	1	2
DB00034	C2239176	1	3
DB00035	C0011848	1	1
DB00035	C0018924	1	0
DB00035	C0019069	1	0
DB00035	C0019080	1	4
DB00035	C0041948	1	4
DB00036	C0008533	1	2
DB00036	C0015503	1	4
DB00036	C0019069	1	4
DB00036	C0019080	1	1
DB00036	C0040015	1	2
DB00038	C0040034	1	1
DB00039	C0376545	1	4
DB00040	C0002792	1	0
DB00040	C0011849	1	4
DB00040	C0020615	1	2
DB00040	C0036980	1	0
DB00040	C0428977	1	4
DB00041	C0007134	1	1
DB00041	C0009404	1	1
DB00041	C0023467	1	3
DB00041	C0024305	1	0
DB00041	C0025202	1	3
DB00041	C0026764	1	4
DB00042	C0038379	1	2
DB00043	C0004096	1	3
DB00043	C0020517	1	0
DB00044	C0021361	1	3
DB00046	C0011849	1	3
DB00046	C0011854	1	0
DB00046	C0011860	1	4
DB00046	C0020456	1	3
DB00046	C2748055	1	1
DB00047	C0011849	1	0
DB00047	C0011854	1	3
DB00047	C0011860	1	1
DB00047	C0020456	1	1
DB00047	C2748055	1	1
DB00048	C0030848	1	4
DB00048	C0037299	1	3
DB00051	C0003872	1	1
DB00051	C0003873	1	2
DB00051	C0009324	1	0
DB00051	C0010346	1	3
DB00051	C0038013	1	0
DB00051	C0162836	1	2
DB00051	C3495559	1	2
DB00052	C0001206	1	2
DB00052	C0013338	1	2
DB00052	C0032897	1	2
DB00052	C0041408	1	0
DB00052	C0151686	1	1
DB00052	C0343755	1	4
DB00052	C0878787	1	4
DB00054	C0002965	1	1
DB00054	C0040053	1	2
DB00055	C0040053	1	0
DB00056	C0023467	1	0
DB00056	C0023479	1	3
DB00060	C0006118	1	3
DB00060	C0007134	1	2
DB00060	C0009404	1	4
DB00060	C0018916	1	2
DB00060	C0023443	1	1
DB00060	C0024437	1	2
DB00060	C0025202	1	4
DB00060	C0026764	1	4
DB00060	C0026948	1	3
DB00060	C0036220	1	1
DB00060	C0036920	1	3
DB00060	C0037286	1	4
DB00060	C0037299	1	4
DB00060	C0040028	1	0
DB00060	C0524910	1	2
DB00060	C0751967	1	2
DB00060	C1540912	1	4
DB00060	C2239176	1	0
DB00063	C0002965	1	0
DB00063	C0027051	1	3
DB00063	C0040053	1	4
DB00063	C0948089	1	3
DB00065	C0003872	1	2
DB00065	C0003873	1	1
DB00065	C0009324	1	0
DB00065	C0010346	1	0
DB00065	C0038013	1	0
DB00065	C3495559	1	1
DB00066	C0021359	1	1
DB00066	C0021361	1	0
DB00067	C0011848	1	4
DB00067	C0017181	1	4
DB00067	C0019069	1	4
DB00067	C0019080	1	0
DB00067	C0042510	1	0
DB00067	C0042514	1	1
DB00068	C0006118	1	2
DB00068	C0007134	1	4
DB00068	C0009404	1	2
DB00068	C0018916	1	3
DB00068	C0023443	1	4
DB00068	C0024437	1	2
DB00068	C0025202	1	4
DB00068	C0026764	1	1
DB00068	C0026769	1	1
DB00068	C0026948	1	4
DB00068	C0036220	1	3
DB00068	C0036920	1	2
DB00068	C0037286	1	0
DB00068	C0037299	1	4
DB00068	C0040028	1	1
DB00068	C0524910	1	3
DB00068	C0751967	1	2
DB00068	C1540912	1	3
DB00068	C2239176	1	3
DB00069	C0006118	1	3
DB00069	C0007134	1	4
DB00069	C0009404	1	2
DB00069	C0018916	1	4
DB00069	C0023443	1	4
DB00069	C0024437	1	4
DB00069	C0025202	1	1
DB00069	C0026764	1	2
DB00069	C0026948	1	1
DB00069	C0036220	1	1
DB00069	C0036920	1	0
DB00069	C0037286	1	0
DB00069	C0037299	1	4
DB00069	C0040028	1	3
DB00069	C0276535	1	1
DB00069	C0524910	1	4
DB00069	C1540912	1	2
DB00069	C2239176	1	0
DB00070	C0042909	1	0
DB00071	C0011849	1	2
DB00072	C1458155	1	4
DB00073	C0003873	1	2
DB00073	C0023434	1	0
DB00073	C0024305	1	0
DB00073	C0079731	1	3
DB00075	C0018133	1	0
DB00078	C0024301	1	3
DB00078	C0024305	1	1
DB00078	C0079731	1	0
DB00081	C0024301	1	2
DB00082	C0001206	1	2
DB00083	C0038379	1	0
DB00083	C2930898	1	4
DB00086	C0027051	1	1
DB00086	C0034065	1	3
DB00086	C0040053	1	3
DB00086	C0042487	1	4
DB00086	C0149871	1	3
DB00086	C0151942	1	1
DB00087	C0023434	1	0
DB00087	C0751967	1	2
DB00091	C0003873	1	4
DB00091	C0004096	1	2
DB00091	C0013238	1	2
DB00091	C0017668	1	3
DB00091	C0022575	1	1
DB00091	C0024141	1	2
DB00091	C0026896	1	2
DB00091	C0033860	1	4
DB00092	C0033860	1	3
DB00093	C0022116	1	2
DB00094	C0021359	1	1
DB00094	C0021361	1	2
DB00094	C0032460	1	3
DB00095	C0033860	1	1
DB00097	C0021361	1	0
DB00099	C0221023	1	1
DB00100	C0008533	1	0
DB00100	C0015503	1	2
DB00100	C0019069	1	3
DB00100	C0019080	1	1
DB00100	C0020640	1	3
DB00102	C0037299	1	2
DB00104	C0001206	1	2
DB00104	C0001430	1	2
DB00104	C0007095	1	2
DB00104	C0011991	1	2
DB00104	C0024586	1	1
DB00104	C0030297	1	1
DB00104	C0032019	1	2
DB00105	C0006118	1	1
DB00105	C0007134	1	0
DB00105	C0009404	1	3
DB00105	C0018916	1	2
DB00105	C0023443	1	1
DB00105	C0023470	1	4
DB00105	C0023473	1	4
DB00105	C0024305	1	1
DB00105	C0024437	1	0
